"","RDA1","RDA2","RDA3","RDA4","RDA5","RDA6","RDA7","RDA8","RDA9","RDA10"
"Gfa",0.0607404149749565,0.0959856219369198,-0.110206763620128,0.0771660854887135,0.371623197844319,0.317571577842842,0.399169213044876,-0.198756571854205,-0.00227361285708476,-0.376498870768938
"Hta",0.0484532914695727,-0.0226839708067391,0.188594543864298,-0.25442387698974,0.504385388259962,-0.205888018724672,-0.711862969752055,0.119414354840919,-0.0169119586385903,-0.623621406739311
"Dsp",0.0479333057172452,-0.0039406596814679,0.24309282138097,-0.0539420639710996,-0.219373037215919,0.184431764432867,0.264361168155103,-0.0326914084861431,0.134276231726046,0.0359459561557079
"Psu",-0.218723013488238,-0.186232597918982,0.119726207151189,-0.277175600397019,-0.0633060656282128,-0.183873034971052,0.999543887398589,1.3227008880461,0.372018113622622,-1.39670277956536
"Cei",-0.306343836308104,0.165380270431501,-0.133419705420611,0.208210262977088,-0.408670471882301,-0.594803773064708,-0.0749129556555687,0.17717061934202,0.276897905800767,0.138481794506731
"Ndi",-0.0187419375869023,0.0557188028862391,0.0458662831813964,0.077293107722013,0.120930018080067,0.0931614078692362,-0.0547649001076409,-0.067429035513395,0.0854560645876604,0.0475544138523849
"Cda",-0.298732656797164,0.96509791113466,0.582766192809263,-0.812127596997612,0.224553013030278,0.254069432809614,1.79596830693965,-1.03951435910305,0.791469540608238,1.42554789882972
"Dro",-0.19213564975584,0.192491803727996,0.0778849365179481,0.0878424048828529,-0.047927988336938,-0.194132098890135,0.413375881446469,-0.347189882975138,0.358724184750877,-0.312558907009634
"Cha",-0.131816036357728,0.0712974042689759,0.2416457017518,0.264781119193638,-0.0105688753362234,0.297483363705653,0.575442121155289,0.185278771668592,0.347423946883234,-0.0207215141061162
"Pac",-0.238594945024925,0.0795627068076366,-0.565049409764746,-0.404614659481745,-0.840271889653426,-1.74341910726791,0.0313241738913056,2.06708850127783,0.425812894227133,-0.374803209586458
"Cau",-0.0983482196693464,0.0705526557663911,-0.0983512424355068,-0.136842718434085,-0.110722586477884,0.165244075943734,0.151407019120381,-0.523800320540818,-0.355412792216275,0.50295948538547
"Coc",-0.0990087901582215,0.0221733227361286,0.231250571132972,0.0401698867038265,-0.103374975742183,0.0475601059713964,0.492400346122663,0.21574562913774,0.0515763255025916,-0.291510419342873
"Pte",0.22188545381401,-0.00556953579693885,-0.283023716360363,0.128170457510972,0.11635698101642,0.278488154617306,-0.0160933895699156,0.147905495572716,-0.10420315165431,-0.826134407233861
"Edu",2.07719130987825,1.73569337351204,-1.41673974903198,-0.969004541096762,0.284968815855644,1.84016576453975,0.752542303205767,0.939789851604595,-1.50217238888596,-2.25489531392901
"Mpe",-0.0726190781330977,0.08609874038941,-0.0410317653461095,0.0409495913627873,-0.0196218261463679,0.23659911256912,-0.0117358228088579,-0.109055932812753,-0.337398603541404,0.0481110483574394
"Pde",-0.0422975146053394,-0.0810329521911013,-0.0236585522033272,0.0673463248219107,0.0227690389879782,-0.0159643774013747,0.189399110789893,-0.186260696355574,-0.0628281422561955,-0.3147973589866
"Plo",-0.569936092244198,0.647188190436768,-0.0632244698125756,0.306127170491515,-0.360010553768715,0.373191398820682,0.00815329260412362,0.258447340306654,-0.652927002598527,0.649224024419281
"Dpu",-0.239415145522917,0.369023030575406,-0.089651174901173,-0.450113006159084,-0.396683394657357,0.113508180059013,0.161921386320521,0.153639670963798,-0.74487884107288,0.408595231579274
"Rte",-0.0226323458553087,0.0673380733116511,0.00450340886970118,-0.177607390940984,-0.210495125161809,0.14986348002756,0.320447803835666,0.0974252987751119,-0.111240077254608,-0.0531356159741672
"Fja",-0.541432257029824,0.639638915015329,-0.651436602805489,-0.198979779434765,-1.10352838759796,-0.226536435693518,-0.0139350091625968,0.941583718719589,-1.35443575038917,1.71899858073419
"Hak",-0.16377949231389,0.218013675159589,-0.16789944110855,-0.0645280522288964,-0.337473405020703,-0.0672979526131401,-0.326152401608741,-0.12641081102318,-0.204552902928817,0.498815497794501
"Mhe",0.301047426418001,-0.889935451700662,-2.34085830263687,-0.977303021947691,1.20810680507148,-1.63903112869174,1.96350537701743,1.75915851895039,0.529108773120978,0.345658742185087
"Dno",0.000314000589956182,0.00184051515879429,-0.00161874275069591,-0.00476232338891104,0.00706493136769071,0.0157187151117741,0.0115051394136682,0.00292905718458483,-0.0127483185806142,-0.00315580621603479
"...80",6.25,2.49,0.97,0.4,0.18,0.17,0.12,0.08,0.06,0.05
